sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10210803,TimeWise Luminous 3D Foundation - Medium 10,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Medium 10,TimeWise Luminous 3D Foundation
10210751,TimeWise Matte 3D Foundation - Medium 11,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Medium 11,TimeWise Matte 3D Foundation
10210804,TimeWise Luminous 3D Foundation - Medium 11,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Medium 11,TimeWise Luminous 3D Foundation
10210752,TimeWise Matte 3D Foundation - Medium 12,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Medium 12,TimeWise Matte 3D Foundation
10210805,TimeWise Luminous 3D Foundation - Medium 12,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Medium 12,TimeWise Luminous 3D Foundation
10210753,TimeWise Matte 3D Foundation - Medium 13,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Medium 13,TimeWise Matte 3D Foundation
10210806,TimeWise Luminous 3D Foundation - Medium 13,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Medium 13,TimeWise Luminous 3D Foundation
10210740,TimeWise Matte 3D Foundation - Medium 14,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Medium 14,TimeWise Matte 3D Foundation
10210792,TimeWise Luminous 3D Foundation - Medium 14,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Medium 14,TimeWise Luminous 3D Foundation
10210754,TimeWise Matte 3D Foundation - Deep 1,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 1,TimeWise Matte 3D Foundation
10210807,TimeWise Luminous 3D Foundation - Deep 1,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 1,TimeWise Luminous 3D Foundation
10210755,TimeWise Matte 3D Foundation - Deep 2,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 2,TimeWise Matte 3D Foundation
10210808,TimeWise Luminous 3D Foundation - Deep 2,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 2,TimeWise Luminous 3D Foundation
10210756,TimeWise Matte 3D Foundation - Deep 3,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 3,TimeWise Matte 3D Foundation
10210809,TimeWise Luminous 3D Foundation - Deep 3,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 3,TimeWise Luminous 3D Foundation
10210757,TimeWise Matte 3D Foundation - Deep 4,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 4,TimeWise Matte 3D Foundation
10210810,TimeWise Luminous 3D Foundation - Deep 4,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 4,TimeWise Luminous 3D Foundation
10210758,TimeWise Matte 3D Foundation - Deep 5,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 5,TimeWise Matte 3D Foundation
10219478,TimeWise Luminous 3D Foundation - Deep 5,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 5,TimeWise Luminous 3D Foundation
10219466,TimeWise Matte 3D Foundation - Deep 6,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 6,TimeWise Matte 3D Foundation
10219479,TimeWise Luminous 3D Foundation - Deep 6,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 6,TimeWise Luminous 3D Foundation
10219467,TimeWise Matte 3D Foundation - Deep 7,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 7,TimeWise Matte 3D Foundation
10219480,TimeWise Luminous 3D Foundation - Deep 7,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 7,TimeWise Luminous 3D Foundation
10219468,TimeWise Matte 3D Foundation - Deep 8,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 8,TimeWise Matte 3D Foundation
10219481,TimeWise Luminous 3D Foundation - Deep 8,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 8,TimeWise Luminous 3D Foundation
10219469,TimeWise Matte 3D Foundation - Deep 9,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 9,TimeWise Matte 3D Foundation
10219482,TimeWise Luminous 3D Foundation - Deep 9,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 9,TimeWise Luminous 3D Foundation
10219470,TimeWise Matte 3D Foundation - Deep 10,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 10,TimeWise Matte 3D Foundation
10219483,TimeWise Luminous 3D Foundation - Deep 10,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 10,TimeWise Luminous 3D Foundation
10219471,TimeWise Matte 3D Foundation - Deep 11,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 11,TimeWise Matte 3D Foundation
10219484,TimeWise Luminous 3D Foundation - Deep 11,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 11,TimeWise Luminous 3D Foundation
10235231,TimeWise Matte 3D Foundation - Deep 12,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 12,TimeWise Matte 3D Foundation
10235274,TimeWise Luminous 3D Foundation - Deep 12,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 12,TimeWise Luminous 3D Foundation
