sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms,predecessor_sku,fact_sheet_url,order_of_application_url,use_up_rate_months,previous_price,price_changed_at
10210799,TimeWise Luminous 3D Foundation - Medium 7​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 7,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210801,TimeWise Luminous 3D Foundation - Medium 8​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 8,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210802,TimeWise Luminous 3D Foundation - Medium 9​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 9,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210803,TimeWise Luminous 3D Foundation - Medium 10​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 10,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210804,TimeWise Luminous 3D Foundation - Medium 11​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 11,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210805,TimeWise Luminous 3D Foundation - Medium 12​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 12,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210806,TimeWise Luminous 3D Foundation - Medium 13​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 13,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210792,TimeWise Luminous 3D Foundation - Medium 14​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 14,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210807,TimeWise Luminous 3D Foundation - Deep 1​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 1,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210808,TimeWise Luminous 3D Foundation - Deep 2​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 2,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210809,TimeWise Luminous 3D Foundation - Deep 3​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 3,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210810,TimeWise Luminous 3D Foundation - Deep 4​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 4,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
