sku,product_name,price,,,,
10237287,Mary Kay® Sunscreen Broad Spectrum SPF 50*,30.00,,,,
10152557,Mary Kay® Makeup Finishing Spray by Skindinävia,20.00,,,,
10210476,Mary Kay® Multi-Benefit Concealer Light 1,18.00,,,,
10210477,Mary Kay® Multi-Benefit Concealer Light 2,18.00,,,,
10210478,Mary Kay® Multi-Benefit Concealer Light 3,18.00,,,,
10210479,Mary Kay® Multi-Benefit Concealer Medium 1,18.00,,,,
10210480,Mary Kay® Multi-Benefit Concealer Medium 2,18.00,,,,
10210481,Mary Kay® Multi-Benefit Concealer Medium 3,18.00,,,,
10210482,Mary Kay® Multi-Benefit Concealer Deep 1,18.00,,,,
10210483,Mary Kay® Multi-Benefit Concealer Deep 2,18.00,,,,
10214386,Mary Kay® Multi-Benefit Concealer Deep 3,18.00,,,,
10211391,Mary Kay® Undereye Corrector Light Peach,18.00,,,,
10211392,Mary Kay® Undereye Corrector Deep Peach,18.00,,,,
10072822,Mary Kay® CC Cream Sunscreen Broad Spectrum SPF 15* Very Light Natural,22.00,,,,
10072823,Mary Kay® CC Cream Sunscreen Broad Spectrum SPF 15* Light to Medium Natural,22.00,,,,
10072824,Mary Kay® CC Cream Sunscreen Broad Spectrum SPF 15* Medium to Deep Natural,22.00,,,,
10072825,Mary Kay® CC Cream Sunscreen Broad Spectrum SPF 15* Deep Natural,22.00,,,,
10086620,Mary Kay® CC Cream Sunscreen Broad Spectrum SPF 15* Very Deep Natural,22.00,,,,
10099957,TimeWise® Matte 3D Foundation Ivory C 100 Matte,26.00,,,,
10099958,TimeWise® Matte 3D Foundation Ivory C 110 Matte,26.00,,,,
10099961,TimeWise® Matte 3D Foundation Ivory W 130 Matte,26.00,,,,
10099962,TimeWise® Matte 3D Foundation Ivory N 140 Matte,26.00,,,,
10099964,TimeWise® Matte 3D Foundation Ivory W 150 Matte,26.00,,,,
10099963,TimeWise® Matte 3D Foundation Ivory N 160 Matte,26.00,,,,
10099965,TimeWise® Matte 3D Foundation Beige W 100 Matte,26.00,,,,
10099966,TimeWise® Matte 3D Foundation Beige C 110 Matte,26.00,,,,
10099967,TimeWise® Matte 3D Foundation Beige C 120 Matte,26.00,,,,
10099968,TimeWise® Matte 3D Foundation Beige C 130 Matte,26.00,,,,
10099969,TimeWise® Matte 3D Foundation Beige C 140 Matte,26.00,,,,
10099970,TimeWise® Matte 3D Foundation Beige N 150 Matte,26.00,,,,
10099971,TimeWise® Matte 3D Foundation Beige W 160 Matte,26.00,,,,
10099972,TimeWise® Matte 3D Foundation Beige C 170 Matte,26.00,,,,
10099973,TimeWise® Matte 3D Foundation Beige W 180 Matte,26.00,,,,
10099974,TimeWise® Matte 3D Foundation Beige N 190 Matte,26.00,,,,
10099975,TimeWise® Matte 3D Foundation Beige N 200 Matte,26.00,,,,
10099976,TimeWise® Matte 3D Foundation Beige N 210 Matte,26.00,,,,
10099977,TimeWise® Matte 3D Foundation Beige C 220 Matte,26.00,,,,
10099978,TimeWise® Matte 3D Foundation Bronze W 100 Matte,26.00,,,,
10099979,TimeWise® Matte 3D Foundation Bronze W 110 Matte,26.00,,,,
10099980,TimeWise® Matte 3D Foundation Bronze W 120 Matte,26.00,,,,
10099981,TimeWise® Matte 3D Foundation Bronze W 130 Matte,26.00,,,,
10099982,TimeWise® Matte 3D Foundation Bronze W 140 Matte,26.00,,,,
