sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10088897,TimeWise Repair Revealing Radiance Facial Peel,68.00,,,2026-04-08,TimeWise Repair Revealing Radiance Facial Peel,TimeWise Repair Revealing Radiance Facial Peel
10107547,TimeWise Repair Lifting Bio-Cellulose Mask,70.00,,,2026-04-08,TimeWise Repair Lifting Bio-Cellulose Mask,TimeWise Repair Lifting Bio-Cellulose Mask
10208384,TimeWise Repair Volu-Firm Day Cream Sunscreen Broad Spectrum SPF 30,54.00,,,2026-04-08,TimeWise Repair Volu-Firm Day Cream,TimeWise Repair Volu-Firm Day Cream
10208386,TimeWise Repair Volu-Firm Night Treatment With Retinol,54.00,,,2026-04-08,TimeWise Repair Volu-Firm Night Treatment With Retinol,TimeWise Repair Volu-Firm Night Treatment With Retinol
10208547,TimeWise Repair Volu-Firm Eye Renewal Cream,44.00,,,2026-04-08,TimeWise Repair Volu-Firm Eye Renewal Cream,TimeWise Repair Volu-Firm Eye Renewal Cream
10211389,TimeWise Repair Volu-Firm The Go Set,38.00,,,2026-04-08,TimeWise Repair Volu-Firm The Go Set,TimeWise Repair Volu-Firm The Go Set
10257257,TimeWise Repair Volu-Firm Foaming Cleanser,30.00,,2026-04-07,2026-04-08,TimeWise Repair Volu-Firm Foaming Cleanser,TimeWise Repair Volu-Firm Foaming Cleanser
10208543,TimeWise Repair Volu-Firm Advanced Lifting Serum,74.00,,,2026-04-08,TimeWise Repair Volu-Firm Advanced Lifting Serum,TimeWise Repair Volu-Firm Advanced Lifting Serum
10211954,TimeWise Repair Volu-Firm Set,225.00,,,2026-04-08,TimeWise Repair Volu-Firm Set,TimeWise Repair Volu-Firm Set
10236194,TimeWise Repair Ultimate Volu-Firm Set,343.00,,,2026-04-08,TimeWise Repair Ultimate Volu-Firm Set,TimeWise Repair Ultimate Volu-Firm Set
10234061,Mary Kay Clinical Solutions Barrier Restore 1:1:3,46.00,,,2026-04-08,Clinical Solutions Barrier Restore 1:1:3,Clinical Solutions Barrier Restore 1:1:3
10238881,Mary Kay Clinical Solutions Retinol 0.3,70.00,,,2026-04-08,Clinical Solutions Retinol 0.3,Clinical Solutions Retinol 0.3
10227734,Mary Kay Clinical Solutions Dynamic Wrinkle Limiter,58.00,,,2026-04-08,Clinical Solutions Dynamic Wrinkle Limiter,Clinical Solutions Dynamic Wrinkle Limiter
10177899,Mary Kay Clinical Solutions C + Resveratrol Line-Reducer,38.00,,,2026-04-08,Clinical Solutions C + Resveratrol Line-Reducer,Clinical Solutions C + Resveratrol Line-Reducer
10177906,Mary Kay Clinical Solutions HA + Ceramide Hydrator,38.00,,,2026-04-08,Clinical Solutions HA + Ceramide Hydrator,Clinical Solutions HA + Ceramide Hydrator
10177902,Mary Kay Clinical Solutions Ferulic + Niacinamide Brightener,38.00,,,2026-04-08,Clinical Solutions Ferulic + Niacinamide Brightener,Clinical Solutions Ferulic + Niacinamide Brightener
10177904,Mary Kay Clinical Solutions PHA + AHA Resurfacer,38.00,,,2026-04-08,Clinical Solutions PHA + AHA Resurfacer,Clinical Solutions PHA + AHA Resurfacer
10056743,Clear Proof Blemish Control Toner,18.00,,,2026-04-08,Clear Proof Blemish Control Toner,Clear Proof Blemish Control Toner
10095054,Clear Proof Acne Treatment Gel,14.00,,,2026-04-08,Clear Proof Acne Treatment Gel,Clear Proof Acne Treatment Gel
10094148,Clear Proof Deep-Cleansing Charcoal Mask,26.00,,,2026-04-08,Clear Proof Deep-Cleansing Charcoal Mask,Clear Proof Deep-Cleansing Charcoal Mask
10233587,Clear Proof Acne System Set,56.00,,,2026-04-08,Clear Proof Acne System Set,Clear Proof Acne System Set
